language,sample_id,word_token_count,bpe_token_count,fertility,word_oov,bpe_oov
C (Devign),0,220,316,1.4364,0,0
C (Devign),1,684,757,1.1067,0,0
C (Devign),2,81,141,1.7407,0,0
C (Devign),3,52,90,1.7308,0,0
C (Devign),4,118,255,2.161,0,0
C (Devign),5,22152,36881,1.6649,3,0
C (Devign),6,89,158,1.7753,0,0
C (Devign),7,310,627,2.0226,0,0
C (Devign),8,1179,1900,1.6115,0,0
C (Devign),9,145,255,1.7586,3,0
C (Devign),10,169,219,1.2959,0,0
C (Devign),11,291,410,1.4089,0,0
C (Devign),12,40,54,1.35,0,0
C (Devign),13,82,188,2.2927,0,0
C (Devign),14,140,157,1.1214,0,0
C (Devign),15,425,678,1.5953,0,0
C (Devign),16,180,322,1.7889,0,0
C (Devign),17,8281,15447,1.8654,0,0
C (Devign),18,124,225,1.8145,1,0
C (Devign),19,78,132,1.6923,1,0
C (Devign),20,99,148,1.4949,0,0
C (Devign),21,105,125,1.1905,0,0
C (Devign),22,8066,13939,1.7281,0,0
C (Devign),23,74,88,1.1892,1,0
C (Devign),24,90,155,1.7222,0,0
C (Devign),25,115,127,1.1043,1,0
C (Devign),26,16,35,2.1875,0,0
C (Devign),27,26,36,1.3846,1,0
C (Devign),28,5165,6856,1.3274,1,0
C (Devign),29,150,203,1.3533,0,0
C (Devign),30,517,784,1.5164,0,0
C (Devign),31,1234,1944,1.5754,0,0
C (Devign),32,76,112,1.4737,0,0
C (Devign),33,37,96,2.5946,0,0
C (Devign),34,310,405,1.3065,0,0
C (Devign),35,43,74,1.7209,0,0
C (Devign),36,204,214,1.049,5,0
C (Devign),37,1078,1565,1.4518,0,0
C (Devign),38,1170,1536,1.3128,16,0
C (Devign),39,214,225,1.0514,0,0
C (Devign),40,518,695,1.3417,6,0
C (Devign),41,488,742,1.5205,20,0
C (Devign),42,164,260,1.5854,0,0
C (Devign),43,202,333,1.6485,0,0
C (Devign),44,38,47,1.2368,0,0
C (Devign),45,92,99,1.0761,0,0
C (Devign),46,119,173,1.4538,0,0
C (Devign),47,75,142,1.8933,0,0
C (Devign),48,202,245,1.2129,0,0
C (Devign),49,198,251,1.2677,0,0
Python (CodeSearchNet),0,306,1128,3.6863,38,0
Python (CodeSearchNet),1,234,393,1.6795,20,0
Python (CodeSearchNet),2,62,171,2.7581,6,0
Python (CodeSearchNet),3,62,186,3.0,16,0
Python (CodeSearchNet),4,154,498,3.2338,15,0
Python (CodeSearchNet),5,262,607,2.3168,57,0
Python (CodeSearchNet),6,493,916,1.858,60,0
Python (CodeSearchNet),7,123,273,2.2195,12,0
Python (CodeSearchNet),8,52,105,2.0192,3,0
Python (CodeSearchNet),9,83,217,2.6145,4,0
Python (CodeSearchNet),10,85,213,2.5059,12,0
Python (CodeSearchNet),11,420,1327,3.1595,76,0
Python (CodeSearchNet),12,118,311,2.6356,20,0
Python (CodeSearchNet),13,401,697,1.7382,34,0
Python (CodeSearchNet),14,158,400,2.5316,19,0
Python (CodeSearchNet),15,253,610,2.4111,51,0
Python (CodeSearchNet),16,334,795,2.3802,46,0
Python (CodeSearchNet),17,321,873,2.7196,46,0
Python (CodeSearchNet),18,180,505,2.8056,23,0
Python (CodeSearchNet),19,406,952,2.3448,46,0
Python (CodeSearchNet),20,115,190,1.6522,12,0
Python (CodeSearchNet),21,174,340,1.954,19,0
Python (CodeSearchNet),22,72,319,4.4306,16,0
Python (CodeSearchNet),23,80,192,2.4,13,0
Python (CodeSearchNet),24,148,253,1.7095,10,0
Python (CodeSearchNet),25,262,544,2.0763,20,0
Python (CodeSearchNet),26,101,180,1.7822,10,0
Python (CodeSearchNet),27,45,75,1.6667,7,0
Python (CodeSearchNet),28,691,1399,2.0246,80,0
Python (CodeSearchNet),29,171,306,1.7895,13,0
Python (CodeSearchNet),30,239,582,2.4351,37,0
Python (CodeSearchNet),31,84,154,1.8333,15,0
Python (CodeSearchNet),32,38,73,1.9211,2,0
Python (CodeSearchNet),33,311,857,2.7556,57,0
Python (CodeSearchNet),34,64,116,1.8125,3,0
Python (CodeSearchNet),35,342,838,2.4503,55,0
Python (CodeSearchNet),36,1278,2668,2.0876,130,0
Python (CodeSearchNet),37,178,306,1.7191,14,0
Python (CodeSearchNet),38,98,159,1.6224,11,0
Python (CodeSearchNet),39,81,161,1.9877,17,0
Python (CodeSearchNet),40,145,361,2.4897,7,0
Python (CodeSearchNet),41,75,137,1.8267,8,0
Python (CodeSearchNet),42,93,252,2.7097,18,0
Python (CodeSearchNet),43,92,227,2.4674,6,0
Python (CodeSearchNet),44,258,415,1.6085,25,0
Python (CodeSearchNet),45,96,269,2.8021,19,0
Python (CodeSearchNet),46,268,663,2.4739,47,0
Python (CodeSearchNet),47,459,1014,2.2092,69,0
Python (CodeSearchNet),48,425,1181,2.7788,22,0
Python (CodeSearchNet),49,621,1317,2.1208,134,0
